POINT_X,POINT_Y,PLA,grid_cod,A,AC,B,CIB,CICCB,CUS,DBB,DOB,OC,P
722404.25147,4365852.43071,0.0,6909,17.95599937438965,11,0,-9999.0,0.4484289884567261,1,848.5709838867188,0.0,4,4.771399974822998
722396.507981,4365860.13028,0.0,7246,18.179500579833984,4,0,0.2719460129737854,0.4509289860725403,5,855.9669799804688,0.0,4,1.3529000282287598
722404.245816,4365860.13767,0.0,7247,18.274900436401367,11,0,0.2697769999504089,0.4493469893932342,1,847.9860229492188,1110.06005859375,4,0.4362320005893707
722411.983652,4365860.14508,0.0,7248,18.229400634765625,11,0,0.2676079869270324,0.4477379918098449,1,842.0,1102.219970703125,4,2.990649938583374
722419.721567,4365860.15242,0.0,7249,17.899999618530273,11,0,-9999.0,0.4461010098457336,1,834.0189819335938,1094.489990234375,4,8.666000366210938
722396.502336,4365867.83716,0.0,7584,18.30039978027344,11,0,0.2723020017147064,0.4518739879131317,1,855.5819702148438,0.0,4,0.8019760251045227
722404.240164,4365867.84455,0.0,7585,18.286399841308597,11,0,0.2701170146465301,0.4502870142459869,1,847.5969848632812,1110.06005859375,4,0.3477180004119873
722411.978069,4365867.85196,0.0,7586,18.299299240112305,11,0,0.2679319977760315,0.4486719965934753,1,841.6079711914062,1102.219970703125,4,0.4975880086421966
722419.715898,4365867.85937,0.0,7587,18.31730079650879,11,0,0.1392419934272766,0.4470289945602417,1,833.6229858398438,1094.489990234375,4,0.0319081991910934
722427.453729,4365867.86672,0.0012855499517172,7588,18.316999435424805,11,0,0.1392419934272766,0.445358008146286,1,825.6389770507812,1094.489990234375,4,0.9337729811668396
722435.191636,4365867.87415,0.0059661897830665,7589,18.209699630737305,11,0,0.1388069987297058,0.4436599910259247,1,817.655029296875,0.0,4,5.724629878997803
722442.929466,4365867.88158,0.0,7590,17.89459991455078,11,0,0.1383689939975738,0.4419330060482025,1,809.6719970703125,0.0,4,9.056139945983888
722388.75887,4365875.53671,0.0,7921,18.370100021362305,4,0,0.2748650014400482,0.4544030129909515,5,863.1220092773438,0.0,4,1.7630599737167358
722396.496689,4365875.5441,0.0,7922,18.31789970397949,11,0,0.2726649940013885,0.4528389871120453,1,855.1329956054688,1114.06005859375,4,0.5395159721374512
722404.234511,4365875.55142,0.0,7923,18.30010032653809,11,0,0.2704640030860901,0.4512479901313782,1,847.1430053710938,1105.949951171875,4,0.1971099972724914
722411.972408,4365875.55883,0.0,7924,18.350000381469727,11,0,0.2682639956474304,0.4496279954910278,1,841.1519775390625,1097.8900146484375,4,0.6776289939880371
722419.710229,4365875.56625,0.00077629100997,7925,18.32830047607422,11,0,0.1394809931516647,0.447979986667633,1,833.1630249023438,1089.8900146484375,4,0.0812152028083801
722427.448051,4365875.57367,0.0043087000958621,7926,18.343799591064453,11,0,0.1394809931516647,0.4463030099868774,1,825.1740112304688,1089.8900146484375,4,0.1020049974322319
722435.185952,4365875.58102,0.0093784304335713,7927,18.335100173950195,11,0,0.1390420049428939,0.4445970058441162,1,817.1849975585938,1081.969970703125,4,0.0934915021061897
722442.923775,4365875.58846,0.0144900996237993,7928,18.338600158691406,11,0,0.138601005077362,0.4428629875183105,1,809.197021484375,1074.1500244140625,4,0.1241229996085167
722450.661675,4365875.5959,0.019683800637722,7929,18.328500747680664,11,0,0.1381569951772689,0.441100001335144,1,801.208984375,1066.449951171875,4,0.8653349876403809
722458.399499,4365875.60335,0.0249844007194042,7930,18.22279930114746,11,0,0.1377100050449371,0.4393070042133331,1,793.2210083007812,0.0,4,5.682680130004883
722466.137323,4365875.61081,0.0157471001148223,7931,17.728500366210938,11,0,0.1372600048780441,0.4374859929084778,1,785.2340087890625,0.0,4,9.319490432739258
722388.753231,4365883.24358,0.0,8259,18.366500854492188,11,0,0.2752520143985748,0.4553939998149872,1,862.7509765625,1118.77001953125,4,0.9467710256576538
722396.491043,4365883.25097,0.0,8260,18.31719970703125,11,0,0.2730360031127929,0.4538269937038421,1,854.7579956054688,1110.510009765625,4,0.1052090004086494
722404.228933,4365883.25837,0.0,8261,18.326099395751957,11,0,0.2708190083503723,0.4522309899330139,1,846.7659912109375,1102.280029296875,4,0.3120850026607513
722411.966745,4365883.26577,0.0,8262,18.33650016784668,11,0,0.2686029970645904,0.4506059885025024,1,840.77099609375,1094.0899658203125,4,0.4069699943065643
722419.704561,4365883.27311,0.0031948098912835,8263,18.31730079650879,11,0,0.139724001288414,0.4489519894123077,1,832.7789916992188,1085.9300537109375,4,0.0039100400172173
722427.442452,4365883.28053,0.0073013301007449,8264,18.339599609375,11,0,0.139724001288414,0.447270005941391,1,824.7860107421875,1085.9300537109375,4,0.0294199995696544
722435.180266,4365883.28796,0.0127373002469539,8265,18.33699989318848,11,0,0.139283001422882,0.4455580115318298,1,816.7940063476562,1077.8299560546875,4,0.0543407015502452
722442.918081,4365883.2954,0.0182114001363515,8266,18.336299896240234,11,0,0.138837993144989,0.4438160061836242,1,808.802001953125,1069.7900390625,4,0.0993835031986236
722450.655976,4365883.30277,0.0237559992820024,8267,18.3302001953125,11,0,0.1383910030126571,0.4420459866523742,1,800.8099975585938,1061.81005859375,4,0.0164189003407955
722458.393792,4365883.31022,0.0293960999697446,8268,18.31760025024414,11,0,0.1379410028457641,0.4402450025081634,1,792.8179931640625,1053.9300537109375,4,0.0873079970479011
722466.131608,4365883.31768,0.0351428985595703,8269,18.33880043029785,11,0,0.13748799264431,0.438414990901947,1,784.8259887695312,1046.1700439453125,4,0.1234370023012161
722473.869502,4365883.32515,0.0395279005169868,8270,18.31550025939941,11,0,0.137032002210617,0.4365560114383697,1,778.8319702148438,0.0,4,0.3775199949741363
722481.60732,4365883.33263,0.0454806983470916,8271,18.2322998046875,11,0,0.1365730017423629,0.4346660077571869,1,770.8410034179688,0.0,4,3.0029399394989014
722489.345215,4365883.34011,0.034656498581171,8272,17.74679946899414,11,0,0.1365730017423629,0.4333899915218353,1,762.8499755859375,0.0,4,5.609749794006348
722381.00971,4365890.94312,0.0,8596,18.42329978942871,11,0,0.277877002954483,0.4579490125179291,1,870.4500122070312,0.0,4,0.6248840093612671
722388.747591,4365890.95051,0.0,8597,18.304800033569336,11,0,0.2756460011005401,0.4564070105552673,1,862.4550170898438,1115.5899658203125,4,0.2423290014266967
722396.485397,4365890.95782,0.0,8598,18.33760070800781,11,0,0.2734139859676361,0.4548360109329223,1,854.458984375,1107.25,4,0.4313260018825531
722404.223279,4365890.96522,0.0,8599,18.33209991455078,11,0,0.2711820006370544,0.4532360136508941,1,846.4630126953125,1098.9300537109375,4,0.2602849900722503
722411.961084,4365890.97263,0.0004901890060864,8600,18.34650039672852,11,0,0.2689490020275116,0.4516069889068603,1,840.4669799804688,1090.6400146484375,4,0.2391230016946792
722419.698967,4365890.98005,0.005641940049827,8601,18.34140014648437,11,0,0.1399710029363632,0.4499489963054657,1,832.4710083007812,1082.3699951171875,4,0.2321829944849014
722427.436773,4365890.98747,0.0108013004064559,8602,18.33690071105957,11,0,0.1399710029363632,0.4482600092887878,1,824.4760131835938,1082.3699951171875,4,0.1227860003709793
722435.174581,4365890.99482,0.0160942003130912,8603,18.33830070495605,11,0,0.1395269930362701,0.4465419948101043,1,816.47998046875,1074.1400146484375,4,0.1698019951581955
722442.912466,4365891.00226,0.0219231005758047,8604,18.32069969177246,11,0,0.1390800029039383,0.4447939991950989,1,808.4849853515625,1065.93994140625,4,0.2402749955654144
722450.650274,4365891.00971,0.0278206001967191,8605,18.33049964904785,11,0,0.1386300027370453,0.443015992641449,1,800.489990234375,1057.780029296875,4,0.1281139999628067
722458.388082,4365891.01716,0.0338077992200851,8606,18.3484001159668,11,0,0.1381770074367523,0.4412069916725158,1,792.4949951171875,1049.6800537109375,4,0.1310999989509582
722466.12597,4365891.02454,0.0398960001766681,8607,18.32379913330078,11,0,0.1377200037240982,0.4393689930438995,1,784.5,1041.6300048828125,4,0.1464409977197647
722473.863779,4365891.03201,0.0445366017520427,8608,18.332199096679688,11,0,0.1372610032558441,0.4375,1,778.5040283203125,1033.6500244140625,4,0.1271000057458877
722481.601589,4365891.03949,0.0508251003921031,8609,18.327600479125977,11,0,0.1367989927530288,0.435600996017456,1,770.5089721679688,1025.77001953125,4,0.1682640016078949
722489.339477,4365891.04697,0.051502201706171,8610,18.35580062866211,11,0,0.1367989927530288,0.4343180060386657,1,762.5139770507812,1025.77001953125,4,0.6534649729728699
722497.077288,4365891.05447,0.0575007982552051,8611,18.29750061035156,11,0,0.1363350003957748,0.4323680102825165,1,754.52001953125,1018.0,4,0.6522480249404907
722504.815177,4365891.06197,0.0790482014417648,8612,18.116199493408203,11,0,0.1358669996261596,0.4303880035877228,1,746.5250244140625,0.0,4,5.509190082550049
722512.552991,4365891.0694,0.1242009997367858,8613,17.523000717163086,1,0,0.1353980004787445,0.4283770024776459,5,738.531005859375,0.0,4,2.961469888687134
722381.004156,4365898.64997,0.0,8934,18.698999404907227,7,0,0.2782950103282928,0.4589869976043701,2,867.1079711914062,1121.0400390625,4,1.9201799631118772
722388.741952,4365898.65735,0.0,8935,18.424999237060547,11,0,0.2760480046272278,0.4574419856071472,1,861.5919799804688,1112.6199951171875,4,4.260940074920654
722396.479825,4365898.66475,0.0,8936,18.36000061035156,11,0,0.2737999856472015,0.4558680057525635,1,853.9719848632812,1104.219970703125,4,1.4377100467681885
722404.217624,4365898.67207,0.0,8937,18.33300018310547,11,0,0.2715510129928589,0.4542649984359741,1,845.9910278320312,1095.8399658203125,4,0.6178470253944397
722411.955422,4365898.67948,0.0027446700260043,8938,18.333999633789062,11,0,0.2693029940128326,0.4526320099830627,1,840.0050048828125,1087.469970703125,4,0.2939929962158203
722419.693297,4365898.6869,0.0081272097304463,8939,18.326000213623047,11,0,0.1402239948511123,0.4509679973125458,1,832.0239868164062,1079.1199951171875,4,0.2668780088424682
722427.431095,4365898.69432,0.0135516999289393,8940,18.31800079345703,11,0,0.1402239948511123,0.4492740035057068,1,824.0440063476562,1079.1199951171875,4,0.1265989989042282
722435.168894,4365898.70175,0.0190296005457639,8941,18.327999114990234,11,0,0.1397770047187805,0.4475499987602234,1,816.0640258789062,1070.800048828125,4,0.1044090017676353
722442.906773,4365898.70911,0.0256537999957799,8942,18.33300018310547,11,0,0.1393270045518875,0.4457960128784179,1,808.083984375,1062.5,4,0.1683429926633834
722450.644573,4365898.71656,0.0319003984332084,8943,18.351999282836918,11,0,0.1388729959726333,0.4440099895000458,1,800.10498046875,1054.22998046875,4,0.1382340043783188
722458.382451,4365898.72401,0.0382365994155406,8944,18.3439998626709,11,0,0.1384170055389404,0.4421940147876739,1,792.1259765625,1045.989990234375,4,0.2653270065784454
722466.120252,4365898.73147,0.0446739010512828,8945,18.32900047302246,11,0,0.1379580050706863,0.4403469860553741,1,784.1480102539062,1037.7900390625,4,0.1421599984169006
722473.858054,4365898.73894,0.0495719984173774,8946,18.336000442504883,11,0,0.1374949961900711,0.4384689927101135,1,778.1640014648438,1029.6300048828125,4,0.0458540990948677
722481.595935,4365898.74634,0.0562019012868404,8947,18.325000762939453,11,0,0.1370300054550171,0.4372000098228454,1,770.18701171875,1021.510009765625,4,0.3261860013008117
722489.333738,4365898.75383,0.0566025003790855,8948,18.3700008392334,11,0,0.1370300054550171,0.4352709949016571,1,762.2100219726562,1021.510009765625,4,0.4302369952201843
722497.071541,4365898.76132,0.0629139021039009,8949,18.29199981689453,11,0,0.1365620046854019,0.4333100020885467,1,754.2329711914062,1013.4600219726562,4,0.4584110081195831
722504.809422,4365898.76882,0.1755069941282272,8950,18.077999114990234,11,0,0.1360909938812255,0.431318998336792,1,746.2570190429688,1005.47998046875,4,6.513450145721436
722512.547227,4365898.77633,0.0935458987951278,8951,17.400999069213867,11,0,0.1356180012226104,0.4292959868907928,1,738.27099609375,997.5989990234376,4,0.5202289819717407
722520.285034,4365898.78377,0.0552483014762401,8952,17.402999877929688,11,0,0.1351419985294342,0.4272429943084717,1,730.2739868164062,989.8330078125,4,0.672569990158081
722528.022916,4365898.79129,0.0807266011834144,8953,17.430999755859375,11,0,0.1346630007028579,0.4251590073108673,1,722.2769775390625,0.0,4,6.02899980545044
722535.760722,4365898.79882,0.0801296010613441,8954,16.898000717163086,1,0,0.1341820061206817,0.4230439960956573,5,716.2789916992188,0.0,3,10.562800407409668
722373.260734,4365906.34951,0.0,9271,18.36599922180176,4,0,-9999.0,0.4615640044212341,5,866.9420166015625,0.0,2,4.534669876098633
722380.998522,4365906.35689,0.0,9272,18.68199920654297,8,0,0.2782950103282928,0.4600470066070556,2,861.3499755859375,1118.31005859375,4,0.9500110149383544
722388.736312,4365906.36419,0.0,9273,18.683000564575195,8,0,0.2760480046272278,0.4584999978542328,4,855.7969970703125,1109.8399658203125,1,0.4670470058917999
722396.474178,4365906.37159,0.0,9274,18.72100067138672,7,0,0.2737999856472015,0.4569239914417267,2,850.281982421875,1101.3900146484375,4,2.05295991897583
722404.211967,4365906.37899,0.0008831020095385,9275,18.643999099731445,11,0,0.2715510129928589,0.4553169906139374,1,844.8079833984375,1092.949951171875,4,2.859499931335449
722411.949834,4365906.3864,0.005041120108217,9276,18.371999740600582,11,0,0.2693029940128326,0.4536789953708648,1,839.489990234375,1084.52001953125,4,1.3624999523162842
722419.687624,4365906.39381,0.0106506003066897,9277,18.364999771118164,11,0,0.1402239948511123,0.4520109891891479,1,831.5050048828125,1076.1099853515625,4,0.3158150017261505
722427.425417,4365906.40116,0.0163345001637935,9278,18.37700080871582,11,0,0.1402239948511123,0.450313001871109,1,823.5189819335938,1076.1099853515625,4,0.4716489911079407
722435.163286,4365906.40859,0.0220928005874156,9279,18.356000900268555,11,0,0.1397770047187805,0.4485830068588257,1,815.5339965820312,1067.719970703125,4,0.2076849937438964
722442.901078,4365906.41603,0.0279331002384424,9280,18.339000701904297,11,0,0.1393270045518875,0.4468219876289367,1,807.5490112304688,1059.3399658203125,4,0.3530830144882202
722450.63887,4365906.42348,0.0360203012824058,9281,18.33300018310547,11,0,0.1388729959726333,0.445030003786087,1,799.5650024414062,1050.989990234375,4,0.3677459955215454
722458.376742,4365906.43086,0.0427035987377166,9282,18.364999771118164,11,0,0.1384170055389404,0.4432060122489929,1,791.5809936523438,1042.6600341796875,4,0.3194090127944946
722466.114536,4365906.43832,0.0494881011545658,9283,18.33300018310547,11,0,0.1379580050706863,0.4413509964942932,1,783.5969848632812,1034.3599853515625,4,0.3305769860744476
722473.852407,4365906.44579,0.0546455010771751,9284,18.336000442504883,11,0,0.1374949961900711,0.4394649863243103,1,777.6090087890625,1026.0799560546875,4,0.2331929951906204
722481.590202,4365906.45327,0.0616207011044025,9285,18.351999282836918,11,0,0.1370300054550171,0.4381889998912811,1,769.6259765625,1017.8400268554688,4,0.2464379966259002
722489.327997,4365906.46075,0.0617275014519691,9286,18.35300064086914,11,0,0.1370300054550171,0.4362500011920929,1,761.6430053710938,1017.8400268554688,4,0.3443610072135925
722497.065872,4365906.46817,0.0683498010039329,9287,18.312000274658203,11,0,0.1365620046854019,0.4342789947986603,1,753.6599731445312,1009.6300048828124,4,0.2888349890708923
722504.803668,4365906.47567,0.0792922973632812,9288,17.74799919128418,11,0,0.1360909938812255,0.4322760105133056,1,745.677978515625,1001.4600219726562,4,7.337830066680908
722512.541464,4365906.48318,0.1236210018396377,9289,17.38800048828125,11,0,0.1356180012226104,0.4302420020103454,1,737.6959838867188,993.3489990234376,4,0.5632960200309753
722520.279339,4365906.49069,0.1070690006017685,9290,17.37299919128418,11,0,0.1351419985294342,0.4281759858131408,1,729.7150268554688,985.2949829101562,4,0.2880809903144836
722528.017136,4365906.49822,0.0821800008416175,9291,17.371999740600586,11,0,0.1346630007028579,0.4260779917240143,1,721.7340087890625,977.3140258789062,4,0.0559252984821796
722535.754937,4365906.50567,0.0908984988927841,9292,17.354000091552734,11,0,0.1341820061206817,0.4239499866962433,1,715.7490234375,969.426025390625,4,0.2614330053329468
722543.492813,4365906.51321,0.1271059960126876,9293,17.3799991607666,11,0,0.1336989998817443,0.4217900037765503,1,707.7680053710938,961.6589965820312,4,1.0699100494384766
722551.230612,4365906.52076,0.1540410071611404,9294,17.19499969482422,11,0,0.1336989998817443,0.4195989966392517,1,699.7890014648438,961.6589965820312,4,3.755369901657105
722558.968489,4365906.52832,0.1292780041694641,9295,16.74799919128418,1,0,-9999.0,0.4247690141201019,5,691.8090209960938,0.0,3,5.582339763641357
722373.255109,4365914.05634,0.0,9609,18.57999992370605,7,0,0.2809840142726898,0.4626480042934418,2,861.2570190429688,1124.239990234375,2,1.186229944229126
722380.992889,4365914.06372,0.0,9610,18.652999877929688,8,0,0.2787219882011413,0.4611299932003021,2,855.6279907226562,1115.719970703125,1,0.5426430106163025
722388.730747,4365914.07111,0.0,9611,18.652000427246094,8,0,0.2764579951763153,0.4595809876918793,4,850.0380249023438,1107.2099609375,1,0.1461630016565323
722396.468528,4365914.0785,0.0,9612,18.701000213623047,7,0,0.2741940021514892,0.4580020010471344,2,844.4860229492188,1098.719970703125,4,0.4916380047798157
722404.206312,4365914.08582,0.0030689199920743,9613,18.67099952697754,7,0,0.271928995847702,0.4563919901847839,2,838.9730224609375,1090.22998046875,4,0.4733810126781463
722411.944171,4365914.09323,0.0073776198551058,9614,18.60300064086914,7,0,0.1409270018339157,0.4547510147094726,2,834.864990234375,1081.760009765625,4,0.8341760039329529
722419.681953,4365914.10065,0.0132160000503063,9615,18.631999969482425,8,0,0.1404809951782226,0.4530789852142334,4,829.4240112304688,1073.2900390625,4,2.033010005950928
722427.419814,4365914.10807,0.0191536005586385,9616,18.5,11,0,0.1404809951782226,0.4513759911060333,1,823.072021484375,1073.2900390625,4,3.572819948196411
722435.157597,4365914.11551,0.0251903999596834,9617,18.371000289916992,11,0,0.1400309950113296,0.4496409893035888,1,815.0830078125,1064.8499755859375,4,0.248199000954628
