OBJECTID,Id,Tipo,Eje_X,Eje_Y,RASTERVALU
103,2213,Borde_Area_Estudio,727480.7057,4360806.5533,
104,2214,Borde_Area_Estudio,727490.7057,4360806.5533,
105,2215,Borde_Area_Estudio,727500.7057,4360806.5533,
106,2216,Borde_Area_Estudio,727510.7057,4360806.5533,
107,2217,Borde_Area_Estudio,727520.7057,4360806.5533,
108,2218,Borde_Area_Estudio,727530.7057,4360806.5533,
109,2219,Borde_Area_Estudio,727540.7057,4360806.5533,
110,2220,Borde_Area_Estudio,727550.7057,4360806.5533,
111,2221,Borde_Area_Estudio,727560.7057,4360806.5533,
112,2222,Borde_Area_Estudio,727570.7057,4360806.5533,
113,2223,Borde_Area_Estudio,727580.7057,4360806.5533,
114,2224,Borde_Area_Estudio,727590.7057,4360806.5533,
115,2355,Borde_Area_Estudio,727450.7057,4360816.5533,
116,2356,Borde_Area_Estudio,727460.7057,4360816.5533,
117,2357,Borde_Area_Estudio,727470.7057,4360816.5533,
118,2358,Borde_Area_Estudio,727480.7057,4360816.5533,
119,2359,Borde_Area_Estudio,727490.7057,4360816.5533,
120,2360,Borde_Area_Estudio,727500.7057,4360816.5533,
121,2361,Borde_Area_Estudio,727510.7057,4360816.5533,
122,2362,Borde_Area_Estudio,727520.7057,4360816.5533,
123,2363,Borde_Area_Estudio,727530.7057,4360816.5533,
124,2364,Borde_Area_Estudio,727540.7057,4360816.5533,
125,2365,Borde_Area_Estudio,727550.7057,4360816.5533,
126,2366,Borde_Area_Estudio,727560.7057,4360816.5533,
127,2367,Borde_Area_Estudio,727570.7057,4360816.5533,
128,2368,Borde_Area_Estudio,727580.7057,4360816.5533,
129,2369,Catarroja,727590.7057,4360816.5533,
130,2504,Borde_Area_Estudio,727440.7057,4360826.5533,
131,2505,Borde_Area_Estudio,727450.7057,4360826.5533,
132,2506,Borde_Area_Estudio,727460.7057,4360826.5533,
133,2507,Borde_Area_Estudio,727470.7057,4360826.5533,
134,2508,Borde_Area_Estudio,727480.7057,4360826.5533,
135,2509,Borde_Area_Estudio,727490.7057,4360826.5533,
136,2510,Borde_Area_Estudio,727500.7057,4360826.5533,
137,2511,Borde_Area_Estudio,727510.7057,4360826.5533,
138,2512,Borde_Area_Estudio,727520.7057,4360826.5533,
139,2513,Borde_Area_Estudio,727530.7057,4360826.5533,
140,2514,Borde_Area_Estudio,727540.7057,4360826.5533,
141,2515,Borde_Area_Estudio,727550.7057,4360826.5533,
142,2516,Borde_Area_Estudio,727560.7057,4360826.5533,
143,2517,Borde_Area_Estudio,727570.7057,4360826.5533,
144,2518,Catarroja,727580.7057,4360826.5533,
145,2519,Catarroja,727590.7057,4360826.5533,
146,2659,Borde_Area_Estudio,727430.7057,4360836.5533,
