POINT_X,POINT_Y,PLA_base,PLA_cf,Delta
723539.712912,4368119.1292,0.13416235646829913,0.12496699139531654,0.00919536507298259
723069.078224,4366623.75286,0.11079212351890398,0.12117729319429382,-0.010385169675389841
723022.390076,4366947.35828,0.11809771787897051,0.09418626756236814,0.02391145031660237
722727.906662,4367563.50194,0.1081701737393411,0.080116127418272,0.0280540463210691
722147.81471,4367393.42001,0.23784185602391997,0.17320301779485184,0.06463883822906813
722325.936875,4367139.30624,0.21829562543974215,0.15975943205003945,0.0585361933897027
721923.29803,4367632.07625,0.23356968368178632,0.16085612097746949,0.07271356270431684
722233.601286,4366437.97319,0.04346982007819695,0.03839405787037911,0.005075762207817837
722759.894002,4366238.11627,0.10465077764759395,0.110459699565093,-0.005808921917499044
722395.014851,4367879.08083,0.20264666021977362,0.17639175394433124,0.026254906275442386
722729.021728,4366137.89931,0.08080123798997904,0.10287094256865613,-0.022069704578677088
722820.802715,4367486.5434,0.10753535337239284,0.08052449104613064,0.027010862326262194
723315.79882,4367633.46641,0.15836221717153118,0.09613631137250471,0.06222590579902647
721830.605257,4367423.95116,0.23152438971507178,0.1723695982779637,0.059154791437108084
722078.144435,4367454.99801,0.2505432892266723,0.17552450514651477,0.07501878408015752
722224.702812,4368048.42361,0.18295697180544815,0.13200133238355835,0.0509556394218898
723038.287396,4366431.06306,0.07899193049231724,0.132866443082156,-0.05387451258983876
722557.621888,4367678.90947,0.14772054665741682,0.097157590479097,0.05056295617831982
722860.524563,4366184.27171,0.10651114645173544,0.13262570141624755,-0.026114554964512107
722574.222982,4366199.39932,0.05600528772439488,0.03349350040448746,0.02251178731990742
722928.385892,4368372.71994,0.11608126694679292,0.11611934463802868,-3.807769123576055e-05
722627.818597,4366939.25059,0.07375114921985562,0.09010934817442826,-0.016358198954572634
721993.200339,4367231.46223,0.22145018332619043,0.18006761718552905,0.04138256614066138
722620.365669,4366569.35261,0.08927302192320406,0.09946494732006832,-0.010191925396864254
721722.282387,4367446.97093,0.1746658341606243,0.1439727192742384,0.030693114886385903
723440.830717,4366200.29633,0.18655907659624196,0.16839657282372272,0.01816250377251924
722016.777463,4366699.78347,0.01625937192792407,0.01603865180423,0.00022072012369406951
721931.340178,4367185.17263,0.22114399514116895,0.1733277553184939,0.04781623982267505
723029.669559,4367502.17055,0.17220267216122892,0.0739262981966392,0.09827637396458971
722294.90059,4367262.56602,0.21519225892947744,0.17738975259371276,0.03780250633576468
722441.951147,4367185.65185,0.19725446283746265,0.11047863665938656,0.08677582617807608
722866.703083,4368126.10853,0.1617728384608596,0.1277780146660583,0.033994823794801315
721954.114635,4367817.02555,0.24908992863529264,0.13931816244989478,0.10977176618539786
722371.950722,4367686.4329,0.18031921487210462,0.19599648620414015,-0.01567727133203553
722062.769181,4367316.28665,0.2503371804379571,0.17856879847083348,0.07176838196712362
722093.535287,4367570.59133,0.2774122877614392,0.1691949799969783,0.10821730776446092
722016.270475,4367431.82485,0.24884939533339018,0.17917706205323827,0.0696723332801519
722495.469416,4368025.5716,0.22304233269975798,0.17177854346398638,0.0512637892357716
721930.991745,4367693.72408,0.22571200876714406,0.13944226043231897,0.08626974833482509
722619.534322,4367648.15044,0.13625894763954133,0.09019754777693934,0.04606139986260199
722805.606234,4367139.77963,0.10554700386710855,0.08308739722133213,0.022459606645776425
722125.32263,4366376.22154,0.00043212503610032076,0.001273593972600455,-0.0008414689365001342
723067.6943,4368288.11684,0.14090666795388773,0.14158646324829086,-0.0006797952944031238
723524.709783,4367595.1701,0.10673499870036253,0.09782481262219236,0.008910186078170165
722643.041906,4367262.90569,0.22351660961689518,0.09173063575614303,0.13178597386075214
722789.359059,4368110.61942,0.1659794998716034,0.13801315776445347,0.027966342107149933
722688.59481,4368364.76861,0.05730613043477804,0.05927890827008635,-0.0019727778353083106
723392.795739,4368049.62269,0.10701256193636341,0.11449933379136183,-0.0074867718549984225
722951.60483,4368357.3352,0.1242697760796037,0.12525439203689948,-0.0009846159572957786
722727.997766,4367447.92225,0.1125579935480027,0.08570431674579226,0.02685367680221043
722325.220947,4368110.1577,0.20446788236234595,0.16789958193115184,0.036568300431194106
721838.222111,4367601.17875,0.20200260898534247,0.1413202146811928,0.06068239430414968
722620.530664,4366353.57526,0.0900325869739703,0.08317688187996647,0.006855705094003836
722186.135818,4367894.29053,0.24062382019184836,0.12469385068255616,0.1159299695092922
723137.996917,4367479.16895,0.10782787203923408,0.06090026974148968,0.0469276022977444
722882.67421,4367509.72292,0.1066745467273957,0.08035685488866441,0.026317691838731283
722992.150705,4366076.51284,0.12030445079674298,0.18853202000429323,-0.06822756920755024
721652.796075,4367231.15859,0.051628158466817176,0.047283549160825965,0.004344609305991211
723137.951526,4367533.10631,0.12234440119627259,0.06451591539107855,0.057828485805194035
723277.981497,4366623.97442,0.22618891308907077,0.2000193003337284,0.02616961275534238
722101.014382,4367932.73493,0.6000870604096805,0.3538829439538056,0.24620411645587492
722410.769315,4367501.54543,0.3445563265235665,0.23130328776157213,0.11325303876199436
723145.99861,4367163.25055,0.1141846751256039,0.08594190824618982,0.028242766879414086
723617.766919,4367348.70099,0.09607656745664936,0.0964691367120358,-0.0003925692553864435
723525.747702,4366423.87942,0.16360300747228498,0.1512103227067064,0.012392684765578588
722233.496539,4366584.39212,0.05587368006145154,0.039683673234855374,0.016190006826596166
722712.087883,4368002.67373,0.17215868882700344,0.12482058809193197,0.04733810073507147
722387.686647,4367332.00455,0.16613979460746395,0.1649746870934942,0.0011651075139697542
