POINT_X,POINT_Y,PLA,A,AC,CIB,CICCB,DBB,DOB,P,CUS_1,CUS_2,CUS_3,CUS_4,CUS_5,OC_1,OC_2,OC_3,OC_4
722396.507981,4365860.13028,0.0,0.6042535956639655,0.0677775275838775,0.20391029458656362,0.39000449127253123,0.6206212282563827,0.0,0.07733185048607752,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
722404.245816,4365860.13767,0.0,0.5815832693857905,1.0,0.2013623993058648,0.3882463362254503,0.6148346132686072,0.7887478505617271,0.08986439240518944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722411.983652,4365860.14508,0.0,0.5815832693857905,1.0,0.19881450402516598,0.38645817367177304,0.6104944307592308,0.7831771137136873,0.08986439240518944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722396.502336,4365867.83716,0.0,0.6096290824340833,1.0,0.20432846728686516,0.391054720882536,0.620342075860062,0.0,0.05167422741891283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722404.240164,4365867.84455,0.0,0.6085606207743132,1.0,0.20176180762212603,0.38929103465046444,0.6145525401274932,0.7887478505617271,0.06203004163890359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722411.978069,4365867.85196,0.0,0.6085606207743132,1.0,0.19919511294920778,0.38749618168140915,0.610210189186376,0.7831771137136873,0.06203004163890359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722419.715898,4365867.85937,0.0,0.6097291910107123,1.0,0.04802559426974928,0.3856702282171068,0.6044206534538072,0.7776846131661632,0.07319538067360835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722427.453729,4365867.86672,0.00013851804722508695,0.5952054868673536,1.0,0.04802559426974928,0.38381317425755707,0.5986318257805823,0.7776846131661632,0.07995347043502883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722435.191636,4365867.87415,0.0006428571344277384,0.5765082993976104,1.0,0.04751461488644235,0.38192607967054276,0.5928430423610663,0.0,0.10187372634707448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722442.929466,4365867.88158,0.0,0.0,1.0,0.047000099677038165,0.3800067915996304,0.5870549227471853,0.0,0.11980699324257468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722388.75887,4365875.53671,0.0,0.6121665037474955,0.0677775275838775,0.20733917069631963,0.39386535775865983,0.6258090020540802,0.0,0.01747568034137293,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
722396.496689,4365875.5441,0.0,0.6099963382693326,1.0,0.2047548669092739,0.3921271745951084,0.6200165455767178,0.7915900313769199,0.027391951808763453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722404.234511,4365875.55142,0.0,0.6093619351788018,1.0,0.20216940785231535,0.39035901704582876,0.6142233810400117,0.7858274334460185,0.0395539567658016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722411.972408,4365875.55883,0.0,0.6093619351788018,1.0,0.1995851040652697,0.3885586328917827,0.6098795697264979,0.7801004842063721,0.0395539567658016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722419.710229,4365875.56625,8.36453804348863e-05,0.6090614820775423,1.0,0.04830634236268086,0.38672711512162133,0.6040871575028446,0.7744161225759866,0.05217411314258035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722427.448051,4365875.57367,0.00046426256915192704,0.6093619351788018,1.0,0.04830634236268086,0.38486340386756185,0.5982947010254823,0.7744161225759866,0.05531171438059819,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722435.185952,4365875.58102,0.0010105261704995178,0.6098961660086869,1.0,0.04779067188336378,0.3829674328878679,0.5925022445481201,0.7687885733367739,0.053735706108109293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722442.923775,4365875.58846,0.001561308684508577,0.6089946793435523,1.0,0.04727263835195217,0.3810403282920584,0.5867105403838107,0.7632321480071211,0.058725283841743615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722450.661675,4365875.5959,0.002120930130068545,0.6089946793435523,1.0,0.04675106899444334,0.37908103021235084,0.5809187919657922,0.75776089789599,0.058725283841743615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722458.399499,4365875.60335,0.0026920699534997493,0.593669660795705,1.0,0.04622599881901662,0.37708837941835793,0.5751270878014828,0.0,0.07337744777123341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722466.137323,4365875.61081,0.0016967505264571536,0.5757737877271116,1.0,0.04569739281749269,0.3750645950082497,0.5693360916965172,0.0,0.10493502813204356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722388.753231,4365883.24358,0.0,0.6105973081491908,1.0,0.2077937869111472,0.39496669286830954,0.6255399837571186,0.7949366715311373,0.01869462970490303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722396.491043,4365883.25097,0.0,0.6093953683861357,1.0,0.20519068373188198,0.39322519761793717,0.6197446507886719,0.7890675612088462,0.012722515051364154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722404.228933,4365883.25837,0.0,0.6095289101734375,1.0,0.20258642528270399,0.3914514757627987,0.613950025879569,0.7832197880594232,0.009057796133759401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722411.966745,4365883.26577,0.0,0.6095289101734375,1.0,0.19998332210343872,0.3896455273028937,0.6096033380749707,0.7774003777373489,0.009057796133759401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722419.704561,4365883.27311,0.0003442408650125593,0.6087275957722876,1.0,0.048591799055712204,0.38780735223822255,0.6038087131658678,0.7716023913246178,0.015238961534768234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722427.442452,4365883.28053,0.0007867185451253589,0.609929535532004,1.0,0.048591799055712204,0.3859380766783042,0.5980133801974211,0.7716023913246178,0.025734335316841665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722435.180266,4365883.28796,0.0013724444972137491,0.6089279402935793,1.0,0.048073765524300455,0.3840354484041003,0.5922187552883182,0.7658469057846724,0.03333789118604813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722442.918081,4365883.2954,0.0019622789303149727,0.6090948516041982,1.0,0.047551023392789216,0.3820994674156112,0.5864241303792154,0.760134181326938,0.04205674392544629,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722450.655976,4365883.30277,0.0025597096604671075,0.6090948516041982,1.0,0.04702595321736239,0.38013235281100655,0.5806295054701125,0.7544640444784645,0.04205674392544629,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722458.393792,4365883.31022,0.003167430684745737,0.6089946793435523,1.0,0.04649734721583845,0.3781308256243339,0.5748348805610096,0.7488649448030757,0.04807343686459162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722466.131608,4365883.31768,0.0037866484112877652,0.6092951961254899,1.0,0.04596520538821747,0.3760970387120268,0.5690402556519067,0.7433511070826837,0.05837456023674836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722473.869502,4365883.32515,0.004259132508392018,0.6061233080408689,1.0,0.04542956274267834,0.37403105831582156,0.5646942759066523,0.0,0.07293766742164653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722481.60732,4365883.33263,0.004900546659472197,0.6061233080408689,1.0,0.04489038427104211,0.37193059909581194,0.5589004033106023,0.0,0.07293766742164653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722489.345215,4365883.34011,0.0037342387985082716,0.5829187509361476,1.0,0.04489038427104211,0.37051249600262176,0.5531064864608433,0.0,0.09202995775426814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722388.747591,4365890.95051,0.0,0.6105973081491908,1.0,0.20825659503990285,0.3960925042995648,0.6253253975222172,0.7926770996190101,0.01869462970490303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722396.485397,4365890.95782,0.0,0.6093953683861357,1.0,0.20563469246841826,0.39434657085285263,0.6195278518683208,0.7867511769055462,0.012722515051364154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722404.223279,4365890.96522,0.0,0.6095289101734375,1.0,0.2030128249051127,0.39256841080137417,0.6137303504681334,0.7808394789739943,0.009057796133759401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722411.961084,4365890.97263,5.281788063046132e-05,0.6095289101734375,1.0,0.20038976706371514,0.39075799102426123,0.6093829103504823,0.7749490314788352,0.009057796133759401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
