POINT_X,POINT_Y,PLA_Real,PLA_Predicho
723539.712912,4368119.1292,5.194244621083021,4.018296767239106
723069.078224,4366623.75286,3.3715746400032076,3.3183349151798907
723022.390076,4366947.35828,3.58902503279903,3.5371447734187185
722727.906662,4367563.50194,3.2236002680581772,3.239804896772154
722147.81471,4367393.42001,7.220003978172998,7.123601480575448
722325.936875,4367139.30624,6.55497067815518,6.5381723241736625
721923.29803,4367632.07625,6.9980358801047595,6.995645645843667
722233.601286,4366437.97319,1.2734001375750856,1.3019645904472303
722759.894002,4366238.11627,3.0647305821246085,3.134395463676493
722395.014851,4367879.08083,6.228246293375045,6.069470163527766
722729.021728,4366137.89931,2.4362034415087708,2.420077896297007
722820.802715,4367486.5434,3.2457775343558612,3.2207913918260895
723315.79882,4367633.46641,4.692734708934206,4.7431068003306995
721830.605257,4367423.95116,6.979704991846216,6.934387045809724
722078.144435,4367454.99801,7.637412553654262,7.504022109144109
722224.702812,4368048.42361,5.403433264689954,5.479744301624587
723038.287396,4366431.06306,2.436067829560504,2.3658873270480703
722557.621888,4367678.90947,4.545218532252695,4.4243781244894
722860.524563,4366184.27171,3.199473459780766,3.1901153701267093
722574.222982,4366199.39932,1.683215309561447,1.6774143845960805
722928.385892,4368372.71994,3.477072656747055,3.4767500511183536
722627.818597,4366939.25059,1.8907902671626615,2.2089206860371413
721993.200339,4367231.46223,6.607928971349398,6.632654488104489
722620.365669,4366569.35261,2.5716984364950477,2.6738162986906024
721722.282387,4367446.97093,5.260822201030948,5.231416436253481
723440.830717,4366200.29633,5.5384923778680335,5.587630942983062
722016.777463,4366699.78347,0.43672048634430793,0.4869844520862556
721931.340178,4367185.17263,6.661339689085927,6.623483845709509
723029.669559,4367502.17055,5.223806102232,5.157642270683458
722294.90059,4367262.56602,6.319512172773433,6.445223393161846
722441.951147,4367185.65185,5.923209433019838,5.907968458578397
722866.703083,4368126.10853,4.811206076371782,4.845258319295884
721954.114635,4367817.02555,7.555182854230202,7.460492505761259
722371.950722,4367686.4329,5.483758626117042,5.40074084315059
722062.769181,4367316.28665,7.5208778402524,7.4978489447692755
722093.535287,4367570.59133,8.315548468520749,8.308775489998132
722016.270475,4367431.82485,7.470888006044978,7.4532882927846
722495.469416,4368025.5716,6.686221500054062,6.680340954332293
721930.991745,4367693.72408,6.739406005519434,6.760300422796817
722619.534322,4367648.15044,4.066460265518631,4.081091769856814
722805.606234,4367139.77963,3.114836407828207,3.1612383353686084
722125.32263,4366376.22154,0.0,0.012942577048542615
723067.6943,4368288.11684,4.216881038538961,4.220295641984555
723524.709783,4367595.1701,3.2936695190486365,3.196819968873154
722643.041906,4367262.90569,6.815955776420803,6.694546022378775
722789.359059,4368110.61942,5.079194521889305,4.9712520361076145
722688.59481,4368364.76861,2.082906616805415,1.7163759248926265
723392.795739,4368049.62269,3.1469924052300304,3.2051332654139038
722951.60483,4368357.3352,3.5860234883440016,3.7220040899042344
722727.997766,4367447.92225,3.3861295530212856,3.371224488798616
722325.220947,4368110.1577,6.1859376738035,6.124017588308964
721838.222111,4367601.17875,6.132398076626771,6.05018018486775
722620.530664,4366353.57526,2.653385688126031,2.696566031688345
722186.135818,4367894.29053,7.034406042843724,7.206924089963298
723137.996917,4367479.16895,3.168098433315075,3.229552618479133
722882.67421,4367509.72292,3.150155145163994,3.195009371817912
722992.150705,4366076.51284,3.58437767865692,3.60323863151028
721652.796075,4367231.15859,1.585985582157186,1.5463149852674158
723137.951526,4367533.10631,3.7621332038713846,3.6643371863623244
723277.981497,4366623.97442,6.7227855590254455,6.774584184244711
722101.014382,4367932.73493,26.028667172557757,17.973207674508938
722410.769315,4367501.54543,10.510930096361754,10.319806609304571
723145.99861,4367163.25055,3.2834715005387825,3.4199452290768093
723617.766919,4367348.70099,2.8647396986856823,2.8775892924160598
723525.747702,4366423.87942,4.8689086718243155,4.90007371174801
722233.496539,4366584.39212,1.6944751407726446,1.6734726034551533
722712.087883,4368002.67373,5.154937161251756,5.156324925830676
722387.686647,4367332.00455,4.9875089187020905,4.976053023775613
722100.783712,4368256.33208,3.082151235292072,2.540583573088384
723433.073057,4366223.40778,5.52797158368556,5.5401876703353
722813.226302,4367286.19402,4.924352222283272,4.81392097987151
723160.899717,4367841.3378,5.233842925262917,5.235727937499301
722852.658687,4366346.10128,4.634967481404199,4.350194145767145
723470.426741,4367741.50885,4.355199455052468,4.331017544081866
