POINT_X,POINT_Y,PLA_base,PLA_cf,Delta,PLA_base_desnorm,PLA_cf_desnorm,delta_desnorm
723539.712912,4368119.1292,0.1341623564682991,0.1249669913953165,0.0091953650729825,1.2451259192228294,1.159786128759382,0.08533979046344742
723069.078224,4366623.75286,0.1107921235189039,0.1211772931942938,-0.0103851696753898,1.0282328685224038,1.1246149258948852,-0.0963820573724814
723022.390076,4366947.35828,0.1180977178789705,0.0941862675623681,0.0239114503166023,1.0960341887473986,0.8741182404952113,0.2219159482521873
722727.906662,4367563.50194,0.1081701737393411,0.080116127418272,0.0280540463210691,1.0038992348909341,0.743536931090056,0.2603623038008781
722147.81471,4367393.42001,0.2378418560239199,0.1732030177948518,0.0646388382290681,2.207348375558848,1.6074521379992353,0.5998962375596129
722325.936875,4367139.30624,0.2182956254397421,0.1597594320500394,0.0585361933897027,2.0259448957443262,1.4826857169345034,0.5432591788098229
721923.29803,4367632.07625,0.2335696836817863,0.1608561209774694,0.0727135627043168,2.1676994557380755,1.4928638014942393,0.6748356542438363
722233.601286,4366437.97319,0.0434698200781969,0.0383940578703791,0.0050757622078178,0.4034320886135082,0.356325260356068,0.047106828257440225
722759.894002,4366238.11627,0.1046507776475939,0.110459699565093,-0.005808921917499,0.9712366355657546,1.0251477283090364,-0.053911092743281874
722395.014851,4367879.08083,0.2026466602197736,0.1763917539443312,0.0262549062754423,1.880710921645165,1.6370459684431553,0.24366495320200965
722729.021728,4366137.89931,0.080801237989979,0.1028709425686561,-0.022069704578677,0.7498952640295011,0.9547184493392694,-0.20482318530976829
722820.802715,4367486.5434,0.1075353533723928,0.0805244910461306,0.0270108623262621,0.9980076322555508,0.7473268476575603,0.2506807845979905
723315.79882,4367633.46641,0.1583622171715311,0.0961363113725047,0.0622259057990264,1.4697185292243982,0.8922160896649584,0.5775024395594398
721830.605257,4367423.95116,0.2315243897150717,0.1723695982779637,0.059154791437108,2.14871761465072,1.5997173883318891,0.5490002263188309
722078.144435,4367454.99801,0.2505432892266723,0.1755245051465147,0.0750187840801575,2.325227072000508,1.6289972580224246,0.6962298139780836
722224.702812,4368048.42361,0.1829569718054481,0.1320013323835583,0.0509556394218898,1.6979760470390306,1.225070017024873,0.47290603001415765
723038.287396,4366431.06306,0.0789919304923172,0.132866443082156,-0.0538745125898387,0.7331035519540262,1.233098884303121,-0.49999533234909477
722557.621888,4367678.90947,0.1477205466574168,0.097157590479097,0.0505629561783198,1.3709559543132763,0.9016943153003234,0.4692616390129529
722860.524563,4366184.27171,0.1065111464517354,0.1326257014162475,-0.0261145549645121,0.988502234339711,1.2308646235465994,-0.24236238920688846
722574.222982,4366199.39932,0.0560052877243948,0.0334935004044874,0.0225117873199074,0.5197705019116395,0.310844461717409,0.20892604019423056
722928.385892,4368372.71994,0.1160812669467929,0.1161193446380286,-3.807769123576055e-05,1.0773200323581686,1.077673421502112,-0.000353389143943339
722627.818597,4366939.25059,0.0737511492198556,0.0901093481744282,-0.0163581989545726,0.684465224698188,0.8362814125344151,-0.15181618783622708
721993.200339,4367231.46223,0.2214501833261904,0.180067617185529,0.0413825661406613,2.0552215266227774,1.6711606986671677,0.3840608279556097
722620.365669,4366569.35261,0.089273021923204,0.0994649473200683,-0.0101919253968642,0.8285196862220737,0.9231082937307657,-0.09458860750869202
721722.282387,4367446.97093,0.1746658341606243,0.1439727192742384,0.0306931148863859,1.6210281560420987,1.3361733436137457,0.284854812428353
723440.830717,4366200.29633,0.1865590765962419,0.1683965728237227,0.0181625037725192,1.731406244277955,1.5628447729349135,0.16856147134304145
722016.777463,4366699.78347,0.016259371927924,0.01603865180423,0.000220720123694,0.15089899991825106,0.14885055388510163,0.002048446033149437
721931.340178,4367185.17263,0.2211439951411689,0.1733277553184939,0.047816239822675,2.052379873752584,1.6086097944974882,0.4437700792550956
723029.669559,4367502.17055,0.1722026721612289,0.0739262981966392,0.0982763739645897,1.5981681904792797,0.6860907367751928,0.9120774537040869
722294.90059,4367262.56602,0.2151922589294774,0.1773897525937127,0.0378025063357646,1.9971433587074323,1.6463081342130887,0.35083522449434357
722441.951147,4367185.65185,0.1972544628374626,0.1104786366593865,0.086775826178076,1.8306673408746725,1.025323478553444,0.8053438623212286
722866.703083,4368126.10853,0.1617728384608596,0.1277780146660583,0.0339948237948013,1.5013716179132477,1.185874504262582,0.3154971136506657
721954.114635,4367817.02555,0.2490899286352926,0.1393181624498947,0.1097717661853978,2.311738810539243,1.29297561291605,1.018763197623193
722371.950722,4367686.4329,0.1803192148721046,0.1959964862041401,-0.0156772713320355,1.6734957113265927,1.8189923870861513,-0.1454966757595586
722062.769181,4367316.28665,0.2503371804379571,0.1785687984708334,0.0717683819671236,2.3233142299651974,1.6572505521923278,0.6660636777728697
722093.535287,4367570.59133,0.2774122877614392,0.1691949799969783,0.1082173077644609,2.574591255664825,1.5702545821517702,1.004336673513055
722016.270475,4367431.82485,0.2488493953333901,0.1791770620532382,0.0696723332801519,2.3095064835548413,1.6628956882208568,0.6466107953339846
722495.469416,4368025.5716,0.2230423326997579,0.1717785434639863,0.0512637892357716,2.069997850656499,1.5942319624051422,0.4757658882513567
721930.991745,4367693.72408,0.225712008767144,0.1394422604323189,0.086269748334825,2.0947744195461246,1.294127333998678,0.8006470855474466
722619.534322,4367648.15044,0.1362589476395413,0.0901975477769393,0.0460613998626019,1.2645838363170647,0.837099970094394,0.42748386622267076
722805.606234,4367139.77963,0.1055470038671085,0.0830873972213321,0.0224596066457764,0.9795542778968834,0.771112512961029,0.20844176493585442
