POINT_X,POINT_Y,PLA
722404.25147,4365852.43071,0.0
722396.507981,4365860.13028,0.0
722404.245816,4365860.13767,0.0
722411.983652,4365860.14508,0.0
722419.721567,4365860.15242,0.0
722396.502336,4365867.83716,0.0
722404.240164,4365867.84455,0.0
722411.978069,4365867.85196,0.0
722419.715898,4365867.85937,0.0
722427.453729,4365867.86672,0.0012855499517172
722435.191636,4365867.87415,0.0059661897830665
722442.929466,4365867.88158,0.0
722388.75887,4365875.53671,0.0
722396.496689,4365875.5441,0.0
722404.234511,4365875.55142,0.0
722411.972408,4365875.55883,0.0
722419.710229,4365875.56625,0.00077629100997
722427.448051,4365875.57367,0.0043087000958621
722435.185952,4365875.58102,0.0093784304335713
722442.923775,4365875.58846,0.0144900996237993
722450.661675,4365875.5959,0.019683800637722
722458.399499,4365875.60335,0.0249844007194042
722466.137323,4365875.61081,0.0157471001148223
722388.753231,4365883.24358,0.0
722396.491043,4365883.25097,0.0
722404.228933,4365883.25837,0.0
722411.966745,4365883.26577,0.0
722419.704561,4365883.27311,0.0031948098912835
722427.442452,4365883.28053,0.0073013301007449
722435.180266,4365883.28796,0.0127373002469539
722442.918081,4365883.2954,0.0182114001363515
722450.655976,4365883.30277,0.0237559992820024
722458.393792,4365883.31022,0.0293960999697446
722466.131608,4365883.31768,0.0351428985595703
722473.869502,4365883.32515,0.0395279005169868
722481.60732,4365883.33263,0.0454806983470916
722489.345215,4365883.34011,0.034656498581171
722381.00971,4365890.94312,0.0
722388.747591,4365890.95051,0.0
722396.485397,4365890.95782,0.0
722404.223279,4365890.96522,0.0
722411.961084,4365890.97263,0.0004901890060864
722419.698967,4365890.98005,0.005641940049827
722427.436773,4365890.98747,0.0108013004064559
722435.174581,4365890.99482,0.0160942003130912
722442.912466,4365891.00226,0.0219231005758047
722450.650274,4365891.00971,0.0278206001967191
722458.388082,4365891.01716,0.0338077992200851
722466.12597,4365891.02454,0.0398960001766681
722473.863779,4365891.03201,0.0445366017520427
722481.601589,4365891.03949,0.0508251003921031
722489.339477,4365891.04697,0.051502201706171
722497.077288,4365891.05447,0.0575007982552051
722504.815177,4365891.06197,0.0790482014417648
722512.552991,4365891.0694,0.1242009997367858
722381.004156,4365898.64997,0.0
722388.741952,4365898.65735,0.0
722396.479825,4365898.66475,0.0
722404.217624,4365898.67207,0.0
722411.955422,4365898.67948,0.0027446700260043
722419.693297,4365898.6869,0.0081272097304463
722427.431095,4365898.69432,0.0135516999289393
722435.168894,4365898.70175,0.0190296005457639
722442.906773,4365898.70911,0.0256537999957799
722450.644573,4365898.71656,0.0319003984332084
722458.382451,4365898.72401,0.0382365994155406
722466.120252,4365898.73147,0.0446739010512828
722473.858054,4365898.73894,0.0495719984173774
722481.595935,4365898.74634,0.0562019012868404
722489.333738,4365898.75383,0.0566025003790855
722497.071541,4365898.76132,0.0629139021039009
722504.809422,4365898.76882,0.1755069941282272
722512.547227,4365898.77633,0.0935458987951278
722520.285034,4365898.78377,0.0552483014762401
722528.022916,4365898.79129,0.0807266011834144
722535.760722,4365898.79882,0.0801296010613441
722373.260734,4365906.34951,0.0
722380.998522,4365906.35689,0.0
