POINT_X,POINT_Y,PLA,A,AC,CIB,CICCB,CUS,DBB,DOB,OC,P
722396.507981,4365860.13028,0.0,18.0979995728,18.05,0.2719460129737854,0.4509289860725403,5,855.9669799804688,0.0,4,2.195313501698224
722404.245816,4365860.13767,0.0,17.4190006256,225.05,0.2697769999504089,0.4493469893932342,1,847.9860229492188,1110.06005859375,4,2.5510900454210286
722411.983652,4365860.14508,0.0,17.4190006256,225.05,0.2676079869270324,0.4477379918098449,1,842.0,1102.219970703125,4,2.5510900454210286
722396.502336,4365867.83716,0.0,18.2590007782,225.05,0.2723020017147064,0.4518739879131317,1,855.5819702148438,0.0,4,1.4669392808980735
722404.240164,4365867.84455,0.0,18.2269992828,225.05,0.2701170146465301,0.4502870142459869,1,847.5969848632812,1110.06005859375,4,1.760922402151808
722411.978069,4365867.85196,0.0,18.2269992828,225.05,0.2679319977760315,0.4486719965934753,1,841.6079711914062,1102.219970703125,4,1.760922402151808
722419.715898,4365867.85937,0.0,18.2619991302,225.05,0.1392419934272766,0.4470289945602417,1,833.6229858398438,1094.489990234375,4,2.077886491073209
722427.453729,4365867.86672,0.0012855499517172,17.8269996643,225.05,0.1392419934272766,0.445358008146286,1,825.6389770507812,1094.489990234375,4,2.269736622754798
722435.191636,4365867.87415,0.0059661897830665,17.2670001984,225.05,0.1388069987297058,0.4436599910259247,1,817.655029296875,0.0,4,2.8920136465414945
722442.929466,4365867.88158,0.0,0.0,225.05,0.1383689939975738,0.4419330060482025,1,809.6719970703125,0.0,4,3.4011071532633754
722388.75887,4365875.53671,0.0,18.3349990845,18.05,0.2748650014400482,0.4544030129909515,5,863.1220092773438,0.0,4,0.4961034394448535
722396.496689,4365875.5441,0.0,18.2700004578,225.05,0.2726649940013885,0.4528389871120453,1,855.1329956054688,1114.06005859375,4,0.7776087248096014
722404.234511,4365875.55142,0.0,18.2509994507,225.05,0.2704640030860901,0.4512479901313782,1,847.1430053710938,1105.949951171875,4,1.1228663841321778
722411.972408,4365875.55883,0.0,18.2509994507,225.05,0.2682639956474304,0.4496279954910278,1,841.1519775390625,1097.8900146484375,4,1.1228663841321778
722419.710229,4365875.56625,0.00077629100997,18.2420005798,225.05,0.1394809931516647,0.447979986667633,1,833.1630249023438,1089.8900146484375,4,1.4811301462604778
722427.448051,4365875.57367,0.0043087000958621,18.2509994507,225.05,0.1394809931516647,0.4463030099868774,1,825.1740112304688,1089.8900146484375,4,1.5702010571137712
722435.185952,4365875.58102,0.0093784304335713,18.2670001984,225.05,0.1390420049428939,0.4445970058441162,1,817.1849975585938,1081.969970703125,4,1.5254609892421784
722442.923775,4365875.58846,0.0144900996237993,18.2399997711,225.05,0.138601005077362,0.4428629875183105,1,809.197021484375,1074.1500244140625,4,1.6671062143023534
722450.661675,4365875.5959,0.019683800637722,18.2399997711,225.05,0.1381569951772689,0.441100001335144,1,801.208984375,1066.449951171875,4,1.6671062143023534
722458.399499,4365875.60335,0.0249844007194042,17.7810001373,225.05,0.1377100050449371,0.4393070042133331,1,793.2210083007812,0.0,4,2.0830550517001556
722466.137323,4365875.61081,0.0157471001148223,17.2450008392,225.05,0.1372600048780441,0.4374859929084778,1,785.2340087890625,0.0,4,2.9789185518175607
722388.753231,4365883.24358,0.0,18.2880001068,225.05,0.2752520143985748,0.4553939998149872,1,862.7509765625,1118.77001953125,4,0.5307072408387675
722396.491043,4365883.25097,0.0,18.2520008087,225.05,0.2730360031127929,0.4538269937038421,1,854.7579956054688,1110.510009765625,4,0.3611695425915998
722404.228933,4365883.25837,0.0,18.2560005188,225.05,0.2708190083503723,0.4522309899330139,1,846.7659912109375,1102.280029296875,4,0.25713469964942764
722411.966745,4365883.26577,0.0,18.2560005188,225.05,0.2686029970645904,0.4506059885025024,1,840.77099609375,1094.0899658203125,4,0.25713469964942764
722419.704561,4365883.27311,0.0031948098912835,18.232000351,225.05,0.139724001288414,0.4489519894123077,1,832.7789916992188,1085.9300537109375,4,0.43260697628281325
722427.442452,4365883.28053,0.0073013301007449,18.267999649,225.05,0.139724001288414,0.447270005941391,1,824.7860107421875,1085.9300537109375,4,0.7305519449384319
722435.180266,4365883.28796,0.0127373002469539,18.2380008698,225.05,0.139283001422882,0.4455580115318298,1,816.7940063476562,1077.8299560546875,4,0.9464033535839668
722442.918081,4365883.2954,0.0182114001363515,18.2430000305,225.05,0.138837993144989,0.4438160061836242,1,808.802001953125,1069.7900390625,4,1.1939160539501028
722450.655976,4365883.30277,0.0237559992820024,18.2430000305,225.05,0.1383910030126571,0.4420459866523742,1,800.8099975585938,1061.81005859375,4,1.1939160539501028
722458.393792,4365883.31022,0.0293960999697446,18.2399997711,225.05,0.1379410028457641,0.4402450025081634,1,792.8179931640625,1053.9300537109375,4,1.3647192503284968
722466.131608,4365883.31768,0.0351428985595703,18.2490005493,225.05,0.13748799264431,0.438414990901947,1,784.8259887695312,1046.1700439453125,4,1.6571497958205668
722473.869502,4365883.32515,0.0395279005169868,18.1539993286,225.05,0.137032002210617,0.4365560114383697,1,778.8319702148438,0.0,4,2.0705704708558965
722481.60732,4365883.33263,0.0454806983470916,18.1539993286,225.05,0.1365730017423629,0.4346660077571869,1,770.8410034179688,0.0,4,2.0705704708558965
722489.345215,4365883.34011,0.034656498581171,17.4589996338,225.05,0.1365730017423629,0.4333899915218353,1,762.8499755859375,0.0,4,2.6125665886533445
722388.747591,4365890.95051,0.0,18.2880001068,225.05,0.2756460011005401,0.4564070105552673,1,862.4550170898438,1115.5899658203125,4,0.5307072408387675
722396.485397,4365890.95782,0.0,18.2520008087,225.05,0.2734139859676361,0.4548360109329223,1,854.458984375,1107.25,4,0.3611695425915998
722404.223279,4365890.96522,0.0,18.2560005188,225.05,0.2711820006370544,0.4532360136508941,1,846.4630126953125,1098.9300537109375,4,0.25713469964942764
722411.961084,4365890.97263,0.0004901890060864,18.2560005188,225.05,0.2689490020275116,0.4516069889068603,1,840.4669799804688,1090.6400146484375,4,0.25713469964942764
722419.698967,4365890.98005,0.005641940049827,18.232000351,225.05,0.1399710029363632,0.4499489963054657,1,832.4710083007812,1082.3699951171875,4,0.43260697628281325
722427.436773,4365890.98747,0.0108013004064559,18.267999649,225.05,0.1399710029363632,0.4482600092887878,1,824.4760131835938,1082.3699951171875,4,0.7305519449384319
722435.174581,4365890.99482,0.0160942003130912,18.2380008698,225.05,0.1395269930362701,0.4465419948101043,1,816.47998046875,1074.1400146484375,4,0.9464033535839668
722442.912466,4365891.00226,0.0219231005758047,18.2430000305,225.05,0.1390800029039383,0.4447939991950989,1,808.4849853515625,1065.93994140625,4,1.1939160539501028
722450.650274,4365891.00971,0.0278206001967191,18.2430000305,225.05,0.1386300027370453,0.443015992641449,1,800.489990234375,1057.780029296875,4,1.1939160539501028
722458.388082,4365891.01716,0.0338077992200851,18.2399997711,225.05,0.1381770074367523,0.4412069916725158,1,792.4949951171875,1049.6800537109375,4,1.3647192503284968
722466.12597,4365891.02454,0.0398960001766681,18.2490005493,225.05,0.1377200037240982,0.4393689930438995,1,784.5,1041.6300048828125,4,1.6571497958205668
722473.863779,4365891.03201,0.0445366017520427,18.1539993286,225.05,0.1372610032558441,0.4375,1,778.5040283203125,1033.6500244140625,4,2.0705704708558965
722481.601589,4365891.03949,0.0508251003921031,18.1539993286,225.05,0.1367989927530288,0.435600996017456,1,770.5089721679688,1025.77001953125,4,2.0705704708558965
722489.339477,4365891.04697,0.051502201706171,17.4589996338,225.05,0.1367989927530288,0.4343180060386657,1,762.5139770507812,1025.77001953125,4,2.6125665886533445
722497.077288,4365891.05447,0.0575007982552051,17.1639995575,225.05,0.1363350003957748,0.4323680102825165,1,754.52001953125,1018.0,4,2.9745862473275366
722381.004156,4365898.64997,0.0,18.341999054,45.05,0.2782950103282928,0.4589869976043701,2,867.1079711914062,1121.0400390625,4,1.0719158488453486
722388.741952,4365898.65735,0.0,18.263999939,225.05,0.2760480046272278,0.4574419856071472,1,861.5919799804688,1112.6199951171875,4,1.001582004779501
722396.479825,4365898.66475,0.0,18.2380008698,225.05,0.2737999856472015,0.4558680057525635,1,853.9719848632812,1104.219970703125,4,0.8053350089746731
722404.217624,4365898.67207,0.0,18.2600002289,225.05,0.2715510129928589,0.4542649984359741,1,845.9910278320312,1095.8399658203125,4,0.4987721281294798
722411.955422,4365898.67948,0.0027446700260043,18.2600002289,225.05,0.2693029940128326,0.4526320099830627,1,840.0050048828125,1087.469970703125,4,0.4987721281294798
722419.693297,4365898.6869,0.0081272097304463,18.2539997101,225.05,0.1402239948511123,0.4509679973125458,1,832.0239868164062,1079.1199951171875,4,0.24512675824390429
722427.431095,4365898.69432,0.0135516999289393,18.2770004272,225.05,0.1402239948511123,0.4492740035057068,1,824.0440063476562,1079.1199951171875,4,0.1255295553135695
722435.168894,4365898.70175,0.0190296005457639,18.2460002899,225.05,0.1397770047187805,0.4475499987602234,1,816.0640258789062,1070.800048828125,4,0.15249092770310166
722442.906773,4365898.70911,0.0256537999957799,18.2439994812,225.05,0.1393270045518875,0.4457960128784179,1,808.083984375,1062.5,4,0.45083903640684675
722450.644573,4365898.71656,0.0319003984332084,18.2439994812,225.05,0.1388729959726333,0.4440099895000458,1,800.10498046875,1054.22998046875,4,0.45083903640684675
722458.382451,4365898.72401,0.0382365994155406,18.2530002594,225.05,0.1384170055389404,0.4421940147876739,1,792.1259765625,1045.989990234375,4,0.7856464487583339
722466.120252,4365898.73147,0.0446739010512828,18.2460002899,225.05,0.1379580050706863,0.4403469860553741,1,784.1480102539062,1037.7900390625,4,1.1011221062225942
722473.858054,4365898.73894,0.0495719984173774,18.2369995117,225.05,0.1374949961900711,0.4384689927101135,1,778.1640014648438,1029.6300048828125,4,1.4953210712642424
722481.595935,4365898.74634,0.0562019012868404,18.2369995117,225.05,0.1370300054550171,0.4372000098228454,1,770.18701171875,1021.510009765625,4,1.4953210712642424
722489.333738,4365898.75383,0.0566025003790855,18.2409992218,225.05,0.1370300054550171,0.4352709949016571,1,762.2100219726562,1021.510009765625,4,2.0672704842417384
722497.071541,4365898.76132,0.0629139021039009,18.216999054,225.05,0.1365620046854019,0.4333100020885467,1,754.2329711914062,1013.4600219726562,4,2.6387645513613642
722504.809422,4365898.76882,0.1755069941282272,17.4909992218,225.05,0.1360909938812255,0.431318998336792,1,746.2570190429688,1005.47998046875,4,3.0643430953427804
722512.547227,4365898.77633,0.0935458987951278,17.0580005646,225.05,0.1356180012226104,0.4292959868907928,1,738.27099609375,997.5989990234376,4,2.2931361355977296
722520.285034,4365898.78377,0.0552483014762401,17.0580005646,225.05,0.1351419985294342,0.4272429943084717,1,730.2739868164062,989.8330078125,4,2.2931361355977296
722528.022916,4365898.79129,0.0807266011834144,16.6079998016,225.05,0.1346630007028579,0.4251590073108673,1,722.2769775390625,0.0,4,2.038652332399637
722380.998522,4365906.35689,0.0,18.6219997406,75.05,0.2782950103282928,0.4600470066070556,2,861.3499755859375,1118.31005859375,4,0.9098983610147602
722388.736312,4365906.36419,0.0,18.6399993896,75.05,0.2760480046272278,0.4584999978542328,4,855.7969970703125,1109.8399658203125,1,1.1779702150792442
722396.474178,4365906.37159,0.0,18.3349990845,45.05,0.2737999856472015,0.4569239914417267,2,850.281982421875,1101.3900146484375,4,1.2516199863525785
722404.211967,4365906.37899,0.0008831020095385,18.3059997559,225.05,0.2715510129928589,0.4553169906139374,1,844.8079833984375,1092.949951171875,4,1.0821620931719103
722411.949834,4365906.3864,0.005041120108217,18.3059997559,225.05,0.2693029940128326,0.4536789953708648,1,839.489990234375,1084.52001953125,4,1.0821620931719103
722419.687624,4365906.39381,0.0106506003066897,18.2810001373,225.05,0.1402239948511123,0.4520109891891479,1,831.5050048828125,1076.1099853515625,4,0.8008928610624305
722427.425417,4365906.40116,0.0163345001637935,18.2469997406,225.05,0.1402239948511123,0.450313001871109,1,823.5189819335938,1076.1099853515625,4,0.5653129378877164
722435.163286,4365906.40859,0.0220928005874156,18.2709999084,225.05,0.1397770047187805,0.4485830068588257,1,815.5339965820312,1067.719970703125,4,0.3456306617798016
722442.901078,4365906.41603,0.0279331002384424,18.2649993896,225.05,0.1393270045518875,0.4468219876289367,1,807.5490112304688,1059.3399658203125,4,0.19869726700729087
722450.63887,4365906.42348,0.0360203012824058,18.2649993896,225.05,0.1388729959726333,0.445030003786087,1,799.5650024414062,1050.989990234375,4,0.19869726700729087
722458.376742,4365906.43086,0.0427035987377166,18.2770004272,225.05,0.1384170055389404,0.4432060122489929,1,791.5809936523438,1042.6600341796875,4,0.15611790687111204
722466.114536,4365906.43832,0.0494881011545658,18.2199993134,225.05,0.1379580050706863,0.4413509964942932,1,783.5969848632812,1034.3599853515625,4,0.28185221311929837
722473.852407,4365906.44579,0.0546455010771751,18.218000412,225.05,0.1374949961900711,0.4394649863243103,1,777.6090087890625,1026.0799560546875,4,0.9260928894286183
722481.590202,4365906.45327,0.0616207011044025,18.218000412,225.05,0.1370300054550171,0.4381889998912811,1,769.6259765625,1017.8400268554688,4,0.9260928894286183
722489.327997,4365906.46075,0.0617275014519691,18.218000412,225.05,0.1370300054550171,0.4362500011920929,1,761.6430053710938,1017.8400268554688,4,2.107797106617067
722497.065872,4365906.46817,0.0683498010039329,17.9050006866,225.05,0.1365620046854019,0.4342789947986603,1,753.6599731445312,1009.6300048828124,4,2.9531173064791227
722504.803668,4365906.47567,0.0792922973632812,17.2740001678,225.05,0.1360909938812255,0.4322760105133056,1,745.677978515625,1001.4600219726562,4,2.776327524383056
722512.541464,4365906.48318,0.1236210018396377,17.2600002289,225.05,0.1356180012226104,0.4302420020103454,1,737.6959838867188,993.3489990234376,4,1.5166380595699256
722520.279339,4365906.49069,0.1070690006017685,17.2600002289,225.05,0.1351419985294342,0.4281759858131408,1,729.7150268554688,985.2949829101562,4,1.5166380595699256
722528.017136,4365906.49822,0.0821800008416175,17.3400001526,225.05,0.1346630007028579,0.4260779917240143,1,721.7340087890625,977.3140258789062,4,1.0819630609971236
722535.754937,4365906.50567,0.0908984988927841,17.3120002747,225.05,0.1341820061206817,0.4239499866962433,1,715.7490234375,969.426025390625,4,1.286614253389614
722543.492813,4365906.51321,0.1271059960126876,16.7940006256,225.05,0.1336989998817443,0.4217900037765503,1,707.7680053710938,961.6589965820312,4,1.5012669766198095
722551.230612,4365906.52076,0.1540410071611404,16.7940006256,225.05,0.1336989998817443,0.4195989966392517,1,699.7890014648438,961.6589965820312,4,1.5012669766198095
722373.255109,4365914.05634,0.0,18.6040000916,45.05,0.2809840142726898,0.4626480042934418,2,861.2570190429688,1124.239990234375,2,0.5515034448564164
722380.992889,4365914.06372,0.0,18.6040000916,75.05,0.2787219882011413,0.4611299932003021,2,855.6279907226562,1115.719970703125,1,0.5515034448564164
722388.730747,4365914.07111,0.0,18.6079998016,75.05,0.2764579951763153,0.4595809876918793,4,850.0380249023438,1107.2099609375,1,0.8983888192225495
722396.468528,4365914.0785,0.0,18.5160007477,45.05,0.2741940021514892,0.4580020010471344,2,844.4860229492188,1098.719970703125,4,1.2317900070842733
722404.206312,4365914.08582,0.0030689199920743,18.438999176,45.05,0.271928995847702,0.4563919901847839,2,838.9730224609375,1090.22998046875,4,1.3443143408871467
722411.944171,4365914.09323,0.0073776198551058,18.438999176,45.05,0.1409270018339157,0.4547510147094726,2,834.864990234375,1081.760009765625,4,1.3443143408871467
722419.681953,4365914.10065,0.0132160000503063,18.341999054,75.05,0.1404809951782226,0.4530789852142334,4,829.4240112304688,1073.2900390625,4,1.2111065394981344
722427.419814,4365914.10807,0.0191536005586385,18.2530002594,225.05,0.1404809951782226,0.4513759911060333,1,823.072021484375,1073.2900390625,4,1.008881676255442
722435.157597,4365914.11551,0.0251903999596834,18.2660007477,225.05,0.1400309950113296,0.4496409893035888,1,815.0830078125,1064.8499755859375,4,0.7842693223735897
722442.895384,4365914.12287,0.0313225015997886,18.2549991608,225.05,0.1395779997110366,0.4478740096092224,1,807.093994140625,1056.4100341796875,4,0.5857234667951179
722450.633246,4365914.13032,0.040193598717451,18.2549991608,225.05,0.1391219943761825,0.4460749924182892,1,799.10400390625,1048.0,4,0.5857234667951179
722458.371031,4365914.13777,0.0472240000963211,18.2670001984,225.05,0.1386619955301284,0.4442450106143951,1,791.1160278320312,1039.5999755859375,4,0.4370803652697578
722466.108817,4365914.14523,0.0543536990880966,18.2310009003,225.05,0.1381999999284744,0.4423820078372955,1,783.1270141601562,1031.2099609375,4,0.295312315890338
722473.846683,4365914.15263,0.0597705990076065,18.236000061,225.05,0.1377339959144592,0.4404860138893127,1,777.135986328125,1022.8599853515624,4,1.0352005140311578
722481.584469,4365914.16011,0.0601062998175621,18.236000061,225.05,0.137264996767044,0.4392049908638,1,769.1480102539062,1014.52001953125,4,1.0352005140311578
722489.322334,4365914.16759,0.0668774023652076,18.2549991608,225.05,0.137264996767044,0.4372560083866119,1,761.1599731445312,1014.52001953125,4,2.410329874505826
722497.060122,4365914.17509,0.0738105997443199,17.6259994507,225.05,0.1367940008640289,0.4352740049362182,1,753.1719970703125,1006.2100219726562,4,3.031046193193582
722504.79791,4365914.18259,0.1028880029916763,17.3330001831,225.05,0.1363189965486526,0.4332610070705414,1,745.1849975585938,997.926025390625,4,2.2364887037342243
722512.535701,4365914.19002,0.1203420013189315,17.3229999542,225.05,0.1358419954776764,0.4312140047550201,1,737.197021484375,989.677001953125,4,1.0388434027200453
722520.273568,4365914.19754,0.0843105018138885,17.3229999542,225.05,0.1353629976511001,0.4291360080242157,1,729.2109985351562,981.4650268554688,4,1.0388434027200453
