POINT_X,POINT_Y,PLA,A,CIB,CICCB,DBB,DOB,P
722396.507981,4365860.13028,0.0,0.6042535956639655,0.20391029458656368,0.39000449127253134,0.6206212282563827,0.0,0.07733185048607752
722404.245816,4365860.13767,0.0,0.5815832693857905,0.20136239930586486,0.3882463362254504,0.6148346132686072,0.7887478505617271,0.08986439240518944
722411.983652,4365860.14508,0.0,0.5815832693857905,0.19881450402516604,0.38645817367177315,0.6104944307592308,0.7831771137136873,0.08986439240518944
722396.502336,4365867.83716,0.0,0.6096290824340833,0.2043284672868652,0.3910547208825361,0.620342075860062,0.0,0.05167422741891283
722404.240164,4365867.84455,0.0,0.6085606207743132,0.2017618076221261,0.38929103465046455,0.6145525401274932,0.7887478505617271,0.06203004163890359
722411.978069,4365867.85196,0.0,0.6085606207743132,0.19919511294920783,0.38749618168140926,0.610210189186376,0.7831771137136873,0.06203004163890359
722419.715898,4365867.85937,0.0,0.6097291910107123,0.0480255942697493,0.3856702282171069,0.6044206534538072,0.7776846131661632,0.07319538067360835
722427.453729,4365867.86672,0.00013851804722508695,0.5952054868673536,0.0480255942697493,0.3838131742575572,0.5986318257805823,0.7776846131661632,0.07995347043502883
722435.191636,4365867.87415,0.0006428571344277384,0.5765082993976104,0.04751461488644236,0.3819260796705429,0.5928430423610663,0.0,0.10187372634707448
722442.929466,4365867.88158,0.0,0.0,0.04700009967703818,0.3800067915996305,0.5870549227471853,0.0,0.11980699324257468
722388.75887,4365875.53671,0.0,0.6121665037474955,0.20733917069631969,0.39386535775865994,0.6258090020540802,0.0,0.01747568034137293
722396.496689,4365875.5441,0.0,0.6099963382693326,0.20475486690927397,0.3921271745951085,0.6200165455767178,0.7915900313769199,0.027391951808763453
722404.234511,4365875.55142,0.0,0.6093619351788018,0.2021694078523154,0.39035901704582887,0.6142233810400117,0.7858274334460185,0.0395539567658016
722411.972408,4365875.55883,0.0,0.6093619351788018,0.19958510406526975,0.38855863289178283,0.6098795697264979,0.7801004842063721,0.0395539567658016
722419.710229,4365875.56625,8.36453804348863e-05,0.6090614820775423,0.048306342362680874,0.38672711512162145,0.6040871575028446,0.7744161225759866,0.05217411314258035
722427.448051,4365875.57367,0.00046426256915192704,0.6093619351788018,0.048306342362680874,0.38486340386756196,0.5982947010254823,0.7744161225759866,0.05531171438059819
